 0e0 # 1.085854e-08          # dimensionless surface pressure
      1001             # radial resolution
# r  rho
1.120543900000399e+10  4.309711295178499e+01
1.127503800000402e+10  4.281288613045405e+01
1.134463700000404e+10  4.252926438041961e+01
1.141423600000406e+10  4.224626733503037e+01
1.148383500000409e+10  4.196391429980276e+01
1.155343400000411e+10  4.168222425262587e+01
1.162303300000414e+10  4.140121584406368e+01
1.169263200000416e+10  4.112090739775283e+01
1.176223100000418e+10  4.084131691089439e+01
1.183183000000421e+10  4.056246205483718e+01
1.190142900000423e+10  4.028436017575139e+01
1.197102800000425e+10  4.000702829539021e+01
1.204062700000428e+10  3.973048311193755e+01
1.211022600000430e+10  3.945474100094036e+01
1.217982500000432e+10  3.917981801632307e+01
1.224942400000435e+10  3.890572989148285e+01
1.231902300000437e+10  3.863249204046316e+01
1.238862200000440e+10  3.836011955920431e+01
1.245822100000442e+10  3.808862722686850e+01
1.252782000000444e+10  3.781802950723800e+01
1.259741900000447e+10  3.754834055018419e+01
1.266701800000449e+10  3.727957419320573e+01
1.273661700000452e+10  3.701174396303383e+01
1.280621600000454e+10  3.674486307730287e+01
1.287581500000456e+10  3.647894444628458e+01
1.294541400000459e+10  3.621400067468350e+01
1.301501300000461e+10  3.595004406349235e+01
1.308461200000464e+10  3.568708661190514e+01
1.315421100000466e+10  3.542514001928628e+01
1.322381000000468e+10  3.516421568719390e+01
1.329340900000471e+10  3.490432472145540e+01
1.336300800000473e+10  3.464547793429372e+01
1.343260700000476e+10  3.438768584650214e+01
1.350220600000478e+10  3.413095868966634e+01
1.357180500000480e+10  3.387530640843136e+01
1.364140400000482e+10  3.362073866281229e+01
1.371100300000485e+10  3.336726483054656e+01
1.378060200000487e+10  3.311489400948636e+01
1.385020100000490e+10  3.286363502002940e+01
1.391980000000492e+10  3.261349640758625e+01
1.398939900000494e+10  3.236448644508282e+01
1.405899800000497e+10  3.211661313549626e+01
1.412859700000499e+10  3.186988421442243e+01
1.419819600000502e+10  3.162430715267389e+01
1.426779500000504e+10  3.137988915890619e+01
1.433739400000506e+10  3.113663718227143e+01
1.440699300000509e+10  3.089455791509728e+01
1.447659200000511e+10  3.065365779559012e+01
1.454619100000514e+10  3.041394301056059e+01
1.461579000000516e+10  3.017541949817036e+01
1.468538900000518e+10  2.993809295069856e+01
1.475498800000521e+10  2.970196881732633e+01
1.482458700000523e+10  2.946705230693842e+01
1.489418600000526e+10  2.923334839094003e+01
1.496378500000528e+10  2.900086180608811e+01
1.503338400000530e+10  2.876959705733514e+01
1.510298300000533e+10  2.853955842068475e+01
1.517258200000535e+10  2.831074994605742e+01
1.524218100000537e+10  2.808317546016526e+01
1.531178000000540e+10  2.785683856939460e+01
1.538137900000542e+10  2.763174266269515e+01
1.545097800000544e+10  2.740789091447467e+01
1.552057700000547e+10  2.718528628749781e+01
1.559017600000549e+10  2.696393153578815e+01
1.565977500000552e+10  2.674382920753247e+01
1.572937400000554e+10  2.652498164798574e+01
1.579897300000556e+10  2.630739100237627e+01
1.586857200000559e+10  2.609105921880971e+01
1.593817100000561e+10  2.587598805117091e+01
1.600777000000563e+10  2.566217906202293e+01
1.607736900000566e+10  2.544963362550178e+01
1.614696800000568e+10  2.523835293020648e+01
1.621656700000571e+10  2.502833798208314e+01
1.628616600000573e+10  2.481958960730242e+01
1.635576500000575e+10  2.461210845512936e+01
1.642536400000578e+10  2.440589500078491e+01
1.649496300000580e+10  2.420094954829819e+01
1.656456200000583e+10  2.399727223334878e+01
1.663416100000585e+10  2.379486302609835e+01
1.670376000000587e+10  2.359372173401069e+01
1.677335900000590e+10  2.339384800465965e+01
1.684295800000592e+10  2.319524132852416e+01
1.691255700000594e+10  2.299790104176968e+01
1.698215600000597e+10  2.280182632901547e+01
1.705175500000599e+10  2.260701622608703e+01
1.712135400000602e+10  2.241346962275310e+01
1.719095300000604e+10  2.222118526544661e+01
1.726055200000607e+10  2.203016175996917e+01
1.733015100000609e+10  2.184039757417827e+01
1.739975000000611e+10  2.165189104065695e+01
1.746934900000613e+10  2.146464035936531e+01
1.753894800000616e+10  2.127864360027338e+01
1.760854700000618e+10  2.109389870597488e+01
1.767814600000621e+10  2.091040349428150e+01
1.774774500000623e+10  2.072815566079720e+01
1.781734400000625e+10  2.054715278147215e+01
1.788694300000628e+10  2.036739231513593e+01
1.795654200000630e+10  2.018887160600961e+01
1.802614100000633e+10  2.001158788619642e+01
1.809574000000635e+10  1.983553827815055e+01
1.816533900000637e+10  1.966071979712388e+01
1.823493800000639e+10  1.948712935359029e+01
1.830453700000642e+10  1.931476375564735e+01
1.837413600000645e+10  1.914361971139488e+01
1.844373500000647e+10  1.897369383129053e+01
1.851333400000649e+10  1.880498263048174e+01
1.858293300000652e+10  1.863748253111413e+01
1.865253200000654e+10  1.847118986461603e+01
1.872213100000656e+10  1.830610087395891e+01
1.879173000000659e+10  1.814221171589363e+01
1.886132900000661e+10  1.797951846316231e+01
1.893092800000663e+10  1.781801710668564e+01
1.900052700000666e+10  1.765770355772552e+01
1.907012600000668e+10  1.749857365002296e+01
1.913972500000671e+10  1.734062314191106e+01
1.920932400000673e+10  1.718384771840301e+01
1.927892300000676e+10  1.702824299325501e+01
1.934852200000678e+10  1.687380451100410e+01
1.941812100000680e+10  1.672052774898072e+01
1.948772000000682e+10  1.656840811929612e+01
1.955731900000685e+10  1.641744097080440e+01
1.962691800000687e+10  1.626762159103932e+01
1.969651700000689e+10  1.611894520812573e+01
1.976611600000692e+10  1.597140699266574e+01
1.983571500000695e+10  1.582500205959954e+01
1.990531400000697e+10  1.567972547004091e+01
1.997491300000699e+10  1.553557223308747e+01
2.004451200000702e+10  1.539253730760567e+01
2.011411100000704e+10  1.525061560399062e+01
2.018371000000707e+10  1.510980198590072e+01
2.025330900000709e+10  1.497009127196723e+01
2.032290800000711e+10  1.483147823747878e+01
2.039250700000714e+10  1.469395761604101e+01
2.046210600000717e+10  1.455752410121126e+01
2.053170500000720e+10  1.442217234810853e+01
2.060130400000722e+10  1.428789697499871e+01
2.067090300000725e+10  1.415469256485536e+01
2.074050200000728e+10  1.402255366689586e+01
2.081010100000730e+10  1.389147479809333e+01
2.087970000000732e+10  1.376145044466428e+01
2.094929900000735e+10  1.363247506353217e+01
2.101889800000738e+10  1.350454308376702e+01
2.108849700000740e+10  1.337764890800113e+01
